주문번호,종목이름,임시,거래량,거래대금,종가,기준가
077970,STX엔진,170,8558,65,7590,7720
071970,STX중공업,519,167427,429,2560,2520
289080,SV인베스트먼트,350,147974,266,1820,1805
084870,TBH글로벌,301,44356,128,2905,2900
002710,TCC스틸,196,9257,26,2885,2830
032540,TJ미디어,87,4929,16,3230,3180
048770,TPC,318,52870,275,5140,5310
246690,TS인베스트먼트,172,33483,61,1835,1865
038340,UCI,845,183275,673,3690,3590
073570,WI,487,42493,364,8550,8470
024070,WISCOM,45,1158,3,2620,2635
052300,W홀딩컴퍼니,603,888253,341,389,385
040300,YTN,183,5328,10,1920,1920
051390,YW,86,6205,22,3575,3565
052220,iMBC,114,13576,31,2290,2290
079940,가비아,290,29584,222,7440,7590
078890,가온미디어,3693,428121,4202,9750,9980
000500,가온전선,71,2049,37,17950,17850
000860,강남제비스코,359,2837,63,22300,22350
217730,강스템바이오텍,1344,217080,2900,13450,13450
035250,강원랜드,7022,314129,9664,30750,30400
011420,갤럭시아에스엠,455,123163,241,1940,1965
094480,갤럭시아컴즈,175,37822,118,3150,3125
063080,게임빌,564,19288,595,30800,30150
039240,경남스틸,171,24720,43,1765,1760
002100,경농,811,48695,664,13600,13750
009450,경동나비엔,3333,161522,7076,43200,44400
267290,경동도시가스,90,4497,123,27200,27500
012320,경동인베스트,67,2069,72,34900,35300
011040,경동제약,357,13076,99,7610,7620
000050,경방,220,5289,53,10200,10200
214390,경보제약,271,19229,166,8800,8620
012610,경인양행,12716,2079955,17492,8460,8120
009140,경인전자,67,1118,23,20300,20300
024910,경창산업,196,54040,75,1395,1400
013580,계룡건설,532,2224,48,21700,22200
012200,계양전기,110,17740,50,2850,2830
012205,계양전기우,149,7078,51,7320,7330
004200,고려개발,150,5047,49,9800,9800
002140,고려산업,2219,544244,1981,3620,3645
198440,고려시멘트,2150,608191,1770,2910,2970
049720,고려신용정보,266,14008,70,5050,5050
010130,고려아연,4591,23494,10410,443000,445500
